1
819.818190989,810.007116842
790.731331707,814.93513643
766.046395479,792.689036187
769.014937365,761.873106982
794.748109035,749.80182644
805.317655289,729.02328428
811.138529917,706.155320515
831.858872378,687.867269688
853.969823636,673.408660338
862.01691271,646.221804904
886.416232906,621.639488587
884.150240104,586.495094351
866.480194165,576.349930757
865.656798359,555.895016465
869.935964335,529.039250671
879.386940136,503.101523065
856.807249369,475.508257905
831.705526441,481.745192157
805.37086809,492.977307605
779.813393345,482.970820351
780.043098528,451.91189084
787.861360019,430.810856469
778.871171782,403.474724229
769.181834569,381.886031261
750.787527781,374.508665966
731.476790374,389.688809043
704.408194619,378.856443402
706.235482068,343.032912888
684.659908846,323.079323951
666.694120674,306.997802975
654.116945977,280.848437695
628.043706372,282.837344189
608.546854119,263.638506036
608.06073037,234.61284456
590.338429557,207.700267317
575.32265181,191.598474513
565.596142984,169.540112899
577.336027617,151.10244226
594.3453563,119.022519922
606.457493383,92.977489619
628.413799831,73.3584645342
623.313616397,53.2469391072
611.648995243,22.731230895
589.715897057,18.9114378111
562.046108422,11.9992061577
528.259746458,25.5746140774
516.46582577,53.2033234
486.085284306,59.4790453915
463.31307035,44.541667308
455.256087035,15.9170363779
end
end
